
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {72}	Yes	-7.809	-27.467	1.25	11.41	0.77	86.58	
Spectrum 1 {73}	Yes	-3.310	-27.467	0.13	12.54	3.43	83.90	
Spectrum 1 {74}	Yes	1.182	-27.467	1.28	12.99	7.73	78.01	
Spectrum 1 {75}	Yes	5.681	-27.467	0.45	13.06	13.50	72.98	
Spectrum 1 {76}	Yes	10.181	-27.467	2.74	11.28	17.94	68.05	
Spectrum 1 {77}	Yes	14.681	-27.467	1.46	12.16	23.24	63.13	
Spectrum 1 {78}	Yes	19.181	-27.467	0.39	13.44	28.47	57.70	
Spectrum 1 {79}	Yes	23.681	-27.467	1.87	11.52	33.96	52.65	
Spectrum 1 {80}	Yes	28.180	-27.467	2.20	13.64	38.53	45.63	
Spectrum 1 {81}	Yes	32.682	-27.467	2.58	15.62	42.32	39.48	
Spectrum 1 {82}	Yes	37.179	-27.467	0.77	17.23	47.67	34.32	
Spectrum 1 {83}	Yes	41.682	-27.467	32.32	36.21	18.66	12.82	
Spectrum 1 {84}	Yes	46.180	-27.467	38.63	59.33	4.68	-2.64	
Spectrum 1 {85}	Yes	-43.811	-22.966	0.99	11.64	0.27	87.11	
Spectrum 1 {86}	Yes	-39.310	-22.966	0.90	12.69	0.06	86.35	
Spectrum 1 {87}	Yes	-34.810	-22.966	1.02	12.24	0.15	86.58	
Spectrum 1 {88}	Yes	-30.309	-22.966	1.99	11.43	0.13	86.46	
Spectrum 1 {89}	Yes	-25.809	-22.966	1.14	10.92	0.30	87.63	
Spectrum 1 {90}	Yes	-21.307	-22.966	2.24	11.36	0.24	86.16	
Spectrum 1 {91}	Yes	-16.807	-22.966	1.19	9.99	0.63	88.20	
Spectrum 1 {92}	Yes	-12.310	-22.966	2.03	10.57	0.81	86.58	
Spectrum 1 {93}	Yes	-7.808	-22.966	2.51	12.97	3.06	81.46	
Spectrum 1 {94}	Yes	-3.307	-22.966	0.81	13.45	7.81	77.93	
Spectrum 1 {95}	Yes	1.181	-22.966	0.83	14.10	12.71	72.35	
Spectrum 1 {96}	Yes	5.683	-22.966	1.42	12.03	17.86	68.69	
Spectrum 1 {97}	Yes	10.180	-22.966	2.41	12.15	22.46	62.99	
Spectrum 1 {98}	Yes	14.680	-22.966	1.50	11.76	28.05	58.68	
Spectrum 1 {99}	Yes	19.182	-22.966	3.56	12.57	31.99	51.88	
Spectrum 1 {100}	Yes	23.681	-22.966	1.83	13.58	37.60	46.99	
Spectrum 1 {101}	Yes	28.179	-22.966	2.32	14.26	42.54	40.88	
Spectrum 1 {102}	Yes	32.681	-22.966	2.31	16.38	47.09	34.21	
Spectrum 1 {103}	Yes	37.181	-22.966	1.78	18.91	51.34	27.97	
Spectrum 1 {104}	Yes	41.681	-22.966	2.68	21.30	54.30	21.72	
Spectrum 1 {105}	Yes	46.181	-22.966	19.18	74.48	4.14	2.21	
Spectrum 1 {106}	Yes	-43.811	-18.466	1.56	11.39	-0.03	87.08	
Spectrum 1 {107}	Yes	-39.310	-18.466	2.33	9.43	0.15	88.09	
Spectrum 1 {108}	Yes	-34.809	-18.466	1.83	12.70	0.35	85.12	
Spectrum 1 {109}	Yes	-30.307	-18.466	1.70	10.26	0.17	87.88	
Spectrum 1 {110}	Yes	-25.809	-18.466	2.60	12.18	0.57	84.65	
Spectrum 1 {111}	Yes	-21.307	-18.466	2.24	13.09	0.63	84.04	
Spectrum 1 {112}	Yes	-16.807	-18.466	2.22	12.23	0.89	84.66	
Spectrum 1 {113}	Yes	-12.309	-18.466	1.06	11.46	2.96	84.52	
Spectrum 1 {114}	Yes	-7.809	-18.466	1.78	13.40	6.84	77.99	
Spectrum 1 {115}	Yes	-3.307	-18.466	1.38	11.95	12.45	74.22	
Spectrum 1 {116}	Yes	1.181	-18.466	2.46	10.93	17.59	69.02	
Spectrum 1 {117}	Yes	5.681	-18.466	2.84	11.79	21.94	63.44	
Spectrum 1 {118}	Yes	10.181	-18.466	1.94	12.27	26.96	58.84	
Spectrum 1 {119}	Yes	14.680	-18.466	2.84	12.21	31.90	53.05	
Spectrum 1 {120}	Yes	19.181	-18.466	3.62	12.99	36.72	46.67	
Spectrum 1 {121}	Yes	23.680	-18.466	2.27	14.17	42.48	41.08	
Spectrum 1 {122}	Yes	28.180	-18.466	4.13	15.06	46.29	34.52	
Spectrum 1 {123}	Yes	32.682	-18.466	3.83	17.59	50.12	28.46	
Spectrum 1 {124}	Yes	37.182	-18.466	2.98	20.76	54.20	22.05	
Spectrum 1 {125}	Yes	41.680	-18.466	2.07	24.07	57.91	15.95	
Spectrum 1 {126}	Yes	46.180	-18.466	32.29	38.69	25.64	3.38	
Spectrum 1 {127}	Yes	-43.809	-13.962	1.94	11.36	0.23	86.47	
Spectrum 1 {128}	Yes	-39.309	-13.962	2.27	9.73	0.38	87.62	
Spectrum 1 {129}	Yes	-34.808	-13.962	1.89	12.78	0.37	84.96	
Spectrum 1 {130}	Yes	-30.307	-13.962	1.52	11.26	0.19	87.04	
Spectrum 1 {131}	Yes	-25.807	-13.962	2.67	11.08	0.37	85.88	
Spectrum 1 {132}	Yes	-21.308	-13.962	1.94	11.01	0.83	86.22	
Spectrum 1 {133}	Yes	-16.808	-13.962	1.05	11.55	2.88	84.51	
Spectrum 1 {134}	Yes	-12.309	-13.962	0.70	10.09	7.11	82.09	
Spectrum 1 {135}	Yes	-7.807	-13.962	1.14	11.85	12.65	74.36	
Spectrum 1 {136}	Yes	-3.308	-13.962	2.92	11.52	16.91	68.65	
Spectrum 1 {137}	Yes	1.181	-13.962	2.24	12.65	21.51	63.60	
Spectrum 1 {138}	Yes	5.681	-13.962	1.74	11.66	27.17	59.43	
Spectrum 1 {139}	Yes	10.181	-13.962	3.23	12.31	31.55	52.92	
Spectrum 1 {140}	Yes	14.681	-13.962	2.07	13.49	37.06	47.38	
Spectrum 1 {141}	Yes	19.182	-13.962	1.85	12.83	42.82	42.50	
