
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {341}	Yes	-25.809	31.024	3.20	13.63	37.51	45.67	
Spectrum 1 {342}	Yes	-21.309	31.024	3.41	14.11	42.15	40.34	
Spectrum 1 {343}	Yes	-16.809	31.024	3.39	15.07	47.27	34.27	
Spectrum 1 {344}	Yes	-12.308	31.024	3.90	16.76	51.10	28.24	
Spectrum 1 {345}	Yes	-7.809	31.024	2.66	19.12	56.06	22.17	
Spectrum 1 {346}	Yes	-3.308	31.024	2.57	21.37	61.06	15.00	
Spectrum 1 {347}	Yes	1.179	31.024	1.73	29.69	63.53	5.04	
Spectrum 1 {348}	Yes	5.682	31.024	4.09	32.68	62.71	0.52	
Spectrum 1 {349}	Yes	10.179	31.024	2.58	31.94	65.30	0.18	
Spectrum 1 {350}	Yes	14.681	31.024	2.39	30.19	67.23	0.19	
Spectrum 1 {351}	Yes	19.181	31.024	3.13	29.24	67.61	0.02	
Spectrum 1 {352}	Yes	23.680	31.024	1.49	28.88	69.58	0.06	
Spectrum 1 {353}	Yes	28.180	31.024	1.01	29.65	69.31	0.03	
Spectrum 1 {354}	Yes	32.680	31.024	1.80	31.40	66.74	0.07	
Spectrum 1 {355}	Yes	37.180	31.024	1.73	35.73	62.50	0.05	
Spectrum 1 {356}	Yes	41.681	31.024	20.69	6.79	1.90	70.62	
Spectrum 1 {357}	Yes	46.180	31.024	44.21	53.02	3.21	-0.44	
Spectrum 1 {358}	Yes	-43.810	35.522	38.31	61.75	0.92	-0.98	
Spectrum 1 {359}	Yes	-39.309	35.522	46.37	53.01	1.75	-1.12	
Spectrum 1 {360}	Yes	-34.807	35.522	6.97	63.71	11.86	17.45	
Spectrum 1 {361}	Yes	-30.307	35.522	2.53	13.32	38.30	45.84	
Spectrum 1 {362}	Yes	-25.807	35.522	2.63	15.28	42.19	39.90	
Spectrum 1 {363}	Yes	-21.307	35.522	3.86	16.17	46.05	33.92	
Spectrum 1 {364}	Yes	-16.810	35.522	2.94	16.95	51.47	28.64	
Spectrum 1 {365}	Yes	-12.308	35.522	3.21	19.67	55.04	22.08	
Spectrum 1 {366}	Yes	-7.807	35.522	3.32	22.64	58.96	15.07	
Spectrum 1 {367}	Yes	-3.309	35.522	2.51	30.72	61.65	5.12	
Spectrum 1 {368}	Yes	1.181	35.522	3.61	34.03	61.79	0.56	
Spectrum 1 {369}	Yes	5.680	35.522	3.23	32.73	63.85	0.19	
Spectrum 1 {370}	Yes	10.181	35.522	3.75	30.40	65.64	0.21	
Spectrum 1 {371}	Yes	14.683	35.522	2.88	29.56	67.46	0.10	
Spectrum 1 {372}	Yes	19.182	35.522	2.48	29.43	68.09	0.00	
Spectrum 1 {373}	Yes	23.680	35.522	1.19	30.16	68.64	0.01	
Spectrum 1 {374}	Yes	28.180	35.522	1.42	31.87	66.62	0.09	
Spectrum 1 {375}	Yes	32.682	35.522	2.20	36.63	61.23	-0.06	
Spectrum 1 {376}	Yes	37.180	35.522	36.95	62.89	0.20	-0.03	
Spectrum 1 {377}	Yes	41.680	35.522	42.33	58.74	2.78	-3.85	
Spectrum 1 {378}	Yes	46.179	35.522	23.29	4.25	0.89	71.58	
Spectrum 1 {379}	Yes	-43.809	40.019	45.60	55.54	1.01	-2.14	
Spectrum 1 {380}	Yes	-39.309	40.019	24.34	72.14	3.46	0.05	
Spectrum 1 {381}	Yes	-34.808	40.019	43.34	58.16	0.59	-2.09	
Spectrum 1 {382}	Yes	-30.307	40.019	-224.04	645.36	-227.98	-93.34	
Spectrum 1 {383}	Yes	-25.808	40.019	3.00	16.52	45.94	34.53	
Spectrum 1 {384}	Yes	-21.307	40.019	1.33	18.76	50.76	29.15	
Spectrum 1 {385}	Yes	-16.808	40.019	3.18	20.30	54.04	22.48	
Spectrum 1 {386}	Yes	-12.310	40.019	2.95	23.75	57.79	15.51	
Spectrum 1 {387}	Yes	-7.807	40.019	2.24	31.55	60.53	5.68	
Spectrum 1 {388}	Yes	-3.308	40.019	3.87	35.63	59.87	0.62	
Spectrum 1 {389}	Yes	1.181	40.019	2.87	34.03	62.83	0.27	
Spectrum 1 {390}	Yes	5.679	40.019	2.43	32.21	65.18	0.18	
Spectrum 1 {391}	Yes	10.181	40.019	1.88	31.39	66.66	0.07	
Spectrum 1 {392}	Yes	14.680	40.019	2.90	30.43	66.61	0.06	
Spectrum 1 {393}	Yes	19.179	40.019	3.05	30.18	66.76	0.01	
Spectrum 1 {394}	Yes	23.681	40.019	2.80	31.99	65.08	0.14	
Spectrum 1 {395}	Yes	28.179	40.019	2.40	35.86	61.65	0.10	
Spectrum 1 {396}	Yes	32.681	40.019	40.93	55.18	1.29	2.60	
Spectrum 1 {397}	Yes	37.182	40.019	46.16	55.20	0.10	-1.46	
Spectrum 1 {398}	Yes	41.680	40.019	42.60	56.87	1.31	-0.78	
Spectrum 1 {399}	Yes	46.181	40.019	188.82	5.32	-35.00	-59.14	
Spectrum 1 {400}	Yes	-43.809	44.519	89.04	-10.74	0.02	21.68	
Spectrum 1 {401}	Yes	-39.307	44.519	36.09	63.04	1.35	-0.48	
Spectrum 1 {402}	Yes	-34.810	44.519	39.74	58.38	3.59	-1.71	
Spectrum 1 {403}	Yes	-30.308	44.519	43.15	54.59	2.07	0.18	
Spectrum 1 {404}	Yes	-25.809	44.519	42.45	56.02	1.64	-0.11	
Spectrum 1 {405}	Yes	-21.307	44.519	2.46	22.93	51.26	23.35	
Spectrum 1 {406}	Yes	-16.808	44.519	1.45	25.15	57.63	15.77	
Spectrum 1 {407}	Yes	-12.307	44.519	4.59	31.83	57.68	5.91	
Spectrum 1 {408}	Yes	-7.807	44.519	2.93	37.72	58.63	0.73	
Spectrum 1 {409}	Yes	-3.308	44.519	2.33	35.81	61.60	0.25	
Spectrum 1 {410}	Yes	1.181	44.519	2.60	33.97	63.27	0.16	
Spectrum 1 {411}	Yes	5.683	44.519	3.37	32.03	64.53	0.08	
Spectrum 1 {412}	Yes	10.179	44.519	2.84	31.37	65.69	0.10	
Spectrum 1 {413}	Yes	14.681	44.519	1.45	31.80	66.54	0.21	
Spectrum 1 {414}	Yes	19.181	44.519	3.25	32.66	64.09	0.00	
Spectrum 1 {415}	Yes	23.681	44.519	64.85	33.34	2.01	-0.20	
Spectrum 1 {416}	Yes	28.181	44.519	38.03	58.56	2.19	1.21	
Spectrum 1 {417}	Yes	32.681	44.519	44.30	57.19	-0.01	-1.48	
Spectrum 1 {418}	Yes	37.180	44.519	44.82	55.64	-0.85	0.40	
Spectrum 1 {419}	Yes	41.680	44.519	93.55	27.78	1.30	-22.63	
Spectrum 1 {420}	Yes	46.181	44.519	83.46	10.87	-1.40	7.06	
	
Mean				7.62	24.84	28.40	39.14		
Std. deviation				21.40	38.52	30.43	36.20		
Max.				188.82	645.36	69.58	88.82		
Min.				-224.04	-10.74	-227.98	-115.68	
